timestamp,UP
1231882,39626
1232382,39624
1232882,39628
1233382,39627
1233882,39626
1234382,39626
1234882,39629
1235382,39631
1235883,39628
1236382,39630
1236882,39630
1237382,39630
1237882,39629
1238382,39628
1238882,39630
1239382,39632
1239882,39631
1240382,39632
1240882,39631
1241382,39630
1241882,39628
1242382,39630
1242882,39626
1243382,39629
1243882,39624
1244382,39626
1244882,39628
1245382,39626
1245882,39627
1246382,39628
1246882,39629
1247382,39627
1247882,39626
1248382,39626
1248882,39624
1249382,39624
1249882,39625
1250382,39624
1250882,39628
1251382,39626
1251883,39624
1252382,39625
1252882,39625
1253382,39623
1253882,39624
1254382,39625
1254882,39627
1255382,39626
1255882,39624
1256382,39628
1256882,39627
1257382,39627
1257882,39627
1258382,39627
1258882,39626
1259382,39623
1259882,39626
1260382,39626
1260882,39625
1261382,39627
1261882,39626
1262382,39628
1262882,39625
1263382,39626
1263882,39630
1264382,39628
1264882,39628
1265382,39627
1265882,39626
1266382,39627
1266882,39626
1267382,39626
1267883,39628
1268382,39626
1268882,39627
1269382,39626
1269882,39624
1270382,39628
1270882,39626
1271382,39624
1271882,39624
1272382,39627
1272882,39625
1273382,39623
1273882,39624
1274382,39623
1274882,39623
1275382,39622
1275882,39622
1276382,39624
1276882,39625
1277382,39624
1277882,39625
1278382,39626
1278882,39626
1279382,39627
1279882,39627
1280382,39625
1280882,39626
1281382,39627
1281882,39626
1282382,39624
1282882,39628
1283382,39626
1283883,39627
1284382,39626
1284882,39626
1285382,39626
1285882,39626
1286382,39624
1286882,39627
1287382,39623
1287882,39625
1288382,39623
1288882,39628
1289382,39627
1289882,39623
1290382,39625
1290882,39625
1291382,39626
1291882,39626
1292382,39622
1292882,39625
1293382,39624
1293882,39624
1294382,39622
1294882,39625
1295382,39623
1295882,39624
1296382,39621
1296882,39621
1297382,39620
1297882,39620
1298382,39620
1298882,39621
1299382,39622
1299883,39621
1300382,39622
1300882,39620
1301382,39621
1301882,39621
1302382,39620
1302882,39619
1303382,39618
1303882,39621
1304382,39619
1304882,39616
1305382,39618
1305882,39619
1306382,39619
1306882,39618
1307382,39618
1307882,39614
1308382,39618
1308882,39618
1309382,39618
1309882,39615
1310382,39615
1310882,39618
1311382,39616
1311882,39614
1312382,39615
1312882,39613
1313382,39615
1313882,39616
1314382,39616
1314882,39615
1315382,39614
1315883,39613
1316382,39612
1316882,39616
1317382,39614
1317882,39614
1318382,39615
